n.;identificator;Age years;Body weight;withers height;hip height;chest depth;chest width;ilium width;sciatic tubercle width;oblique body length;oblique rear length;heart girth;metacarpus girth;backside half-girth
504;пнд-01705;5;550;123;125;67;45;45;25;170;47;187;24;115
505;пнд-01708;5;550;133;129;43;48;23;160;159;54;185;26;127
506;пнд-02111;5;510;114;124;62;45;49;22;146;50;182;26;109
507;пнд-02114;3;444;127;128;67;43;45;22;150;50;189;26;109
508;пнд-02312;5;527;123;125;59;40;45;21;150;48;189;26;110
509;пнд-02514;5;600;127;130;67;45;48;21;154;50;179;25;108
510;пнд-03118;5;510;128;132;67;45;47;25;162;50;192;22;110
511;пнд-03326;5;540;123;125;69;45;52;22;163;55;190;26;118
512;пнд-04342;5;515;120;123;60;40;44;20;154;50;200;22;120
513;пнд-05129;5;500;125;126;67;39;47;25;160;48;180;25;121
514;пнд-05540;5;600;136;138;70;45;50;25;171;51;190;25;107
515;пнд-10553;5;550;128;131;70;46;52;28;155;40;175;22;103
516;пнд-11159;5;587;129;130;73;45;55;162;150;40;177;21;108
517;пнд-12130;3;475;128;129;74;46;56;26;171;51;180;21;110
518;пнд-12517;5;510;127;133;51;44;54;21;169;51;181;20;104
519;пнд-13530;5;552;129;131;50;43;52;21;170;50;182;22;105
520;пнд-14149;5;502;126;130;68;42;45;21;198;51;190;21;104
521;пнд-14330;5;527;127;128;65;42;51;21;174;50;190;21;104
522;пнд-15538;5;520;127;128;65;42;51;21;174;50;190;21;104
523;пнд-18348;5;521;129;131;68;43;50;21;180;51;192;20;102
524;пнд-20172;5;550;129;129;69;40;49;24;145;50;189;26;129
525;пнд-20173;5;550;129;130;69;41;50;21;150;52;191;21;110
526;пнд-203;5;550;128;134;72;49;49;27;160;48;208;23;118
527;пнд-2032;5;516;123;134;65;43;52;24;153;46;200;21;118
528;пнд-21180;5;515;129;128;70;41;49;25;146;54;190;26;130
529;пнд-21304;5;525;128;129;69;40;49;24;145;50;189;26;129
530;пнд-21305;5;510;130;131;69;45;49;24;153;50;202;24;109
531;пнд-21307;5;524;128;130;66;45;50;25;155;51;200;22;112
532;пнд-21511;5;565;125;130;66;45;50;24;160;48;198;24;110
533;пнд-22187;5;535;128;130;70;42;45;21;198;52;197;21;104
534;пнд-22189;5;540;129;131;71;43;46;22;199;53;198;20;106
535;пнд-22326;5;570;130;129;72;49;27;160;157;49;200;22;120
536;пнд-22331;5;591;130;131;74;43;47;20;198;45;57;22;106
537;пнд-23339;5;500;127;131;13;50;54;30;158;52;200;23;110
538;пнд-240;5;540;126;134;65;46;52;24;161;52;195;21;117
539;пнд-24151;5;521;120;131;71;52;48;30;150;44;178;22;106
540;пнд-24156;5;547;124;129;68;45;50;25;154;45;192;25;109
541;пнд-25355;5;576;120;125;68;48;50;26;155;50;200;27;120
542;пнд-25556;5;605;121;131;71;45;51;23;161;55;201;25;102
543;пнд-2574;5;522;122;138;72;43;52;24;155;49;196;24;106
544;пнд-27166;5;549;131;126;75;48;51;24;161;52;198;25;112
545;пнд-27167;5;501;128;130;69;47;51;27;159;50;200;24;121
546;пнд-29567;5;590;125;131;71;48;50;27;161;51;199;25;110
547;пнд-29569;5;552;131;129;70;48;50;26;168;48;191;24;110
548;пнд-3002;3;450;113;137;64;42;45;24;148;47;187;24;110
549;пнд-3006;5;568;120;131;71;43;50;22;160;55;200;24;100
550;пнд-3007;5;525;120;132;66;44;50;25;150;48;198;24;110
551;пнд-302;5;500;124;130;73;45;50;22;170;50;198;23;108
552;пнд-32052;5;587;130;127;73;47;50;24;162;50;192;25;112
553;пнд-323;5;541;120;124;65;39;48;26;150;50;193;22;105
554;пнд-33125;5;541;124;130;74;43;47;24;154;42;178;24;105
555;пнд-33518;5;570;127;128;72;45;46;24;160;42;181;24;120
556;пнд-33521;5;550;126;128;70;44;45;23;168;45;190;24;119
557;пнд-33739;5;518;127;129;73;46;48;24;170;46;191;25;107
558;пнд-33744;5;500;128;129;75;47;49;25;172;47;193;24;103
559;пнд-33749;5;538;128;129;73;45;50;231;164;42;188;22;107
